32, 54, 0.000, 1
31, 6, 1.139, 459
40, 22, 0.387, 31
21, 28, 0.557, 406
4, 36, 1.130, 184
43, 3, 1.185, 27
7, 25, 0.944, 1547
46, 12, 0.267, 15
29, 44, 0.600, 5
68, 25, 0.000, 3
33, 41, 0.357, 14
16, 47, 0.000, 4
36, 34, 1.375, 8
1, 64, 1.667, 3
58, 19, 0.000, 2
44, 34, 0.000, 3
9, 0, 3.725, 14939
48, 37, 0.000, 1
34, 8, 0.868, 281
15, 30, 0.794, 423
37, 13, 0.714, 133
24, 14, 0.731, 1471
13, 20, 0.839, 2643
52, 17, 0.000, 5
0, 55, 7.000, 1
3, 2, 1.931, 9640
25, 49, 0.800, 5
28, 10, 0.751, 847
50, 27, 1.000, 2
31, 15, 0.604, 333
1, 40, 1.250, 36
40, 29, 0.462, 13
21, 37, 0.791, 67
4, 35, 1.423, 239
8, 38, 0.943, 123
7, 22, 1.012, 2588
65, 11, 1.000, 4
46, 23, 0.250, 8
29, 37, 0.448, 29
33, 34, 0.828, 29
16, 38, 0.578, 64
36, 41, 0.100, 10
41, 34, 1.600, 10
22, 12, 0.685, 2383
44, 25, 0.111, 18
9, 9, 1.087, 9531
12, 50, 1.167, 6
34, 3, 1.175, 275
59, 9, 0.000, 2
24, 21, 0.553, 910
24, 66, 1.500, 2
49, 51, 0.000, 1
13, 13, 0.906, 5221
52, 24, 0.000, 3
0, 14, 3.765, 8892
38, 31, 1.231, 13
3, 11, 1.570, 6516
28, 1, 1.894, 511
50, 18, 0.500, 4
53, 7, 0.667, 6
1, 33, 2.198, 207
40, 4, 0.942, 69
21, 46, 0.667, 12
4, 42, 0.846, 52
8, 45, 0.421, 19
7, 15, 1.135, 5521
65, 12, 1.500, 2
46, 30, 0.000, 3
68, 15, 0.000, 4
33, 59, 0.000, 1
16, 29, 0.749, 490
2, 64, 1.000, 6
41, 43, 0.000, 3
22, 7, 1.007, 2597
5, 53, 0.667, 3
44, 16, 0.762, 21
9, 50, 0.500, 2
47, 5, 0.167, 6
12, 41, 0.567, 60
34, 26, 0.737, 76
17, 50, 0.250, 12
59, 14, 6.000, 2
24, 28, 0.539, 332
62, 9, 0.000, 1
10, 19, 0.900, 3485
13, 6, 1.232, 6778
0, 5, 3.463, 17981
38, 22, 0.568, 44
25, 3, 1.482, 1297
8, 69, 0.000, 1
28, 24, 0.523, 344
50, 13, 0.500, 4
53, 0, 8.000, 2
1, 58, 5.000, 2
40, 11, 0.563, 71
21, 55, 0.000, 1
4, 17, 1.370, 4070
26, 34, 0.746, 71
7, 4, 1.524, 10089
65, 5, 2.500, 4
11, 65, 1.000, 4
16, 20, 0.789, 2096
19, 1, 1.898, 2006
17, 64, 4.000, 1
41, 44, 0.000, 1
22, 30, 0.414, 239
5, 62, 0.250, 4
44, 15, 0.357, 14
27, 65, 0.000, 1
47, 2, 1.200, 5
12, 32, 0.781, 334
34, 21, 0.659, 129
17, 43, 0.417, 24
59, 7, 0.000, 1
10, 26, 0.768, 1269
13, 63, 4.000, 1
0, 28, 3.247, 1134
38, 9, 0.928, 138
17, 27, 0.738, 664
25, 4, 1.376, 1339
63, 19, 0.250, 4
28, 23, 0.576, 330
50, 4, 0.000, 6
14, 38, 0.593, 81
53, 9, 0.000, 2
21, 48, 0.000, 4
4, 24, 1.271, 1604
26, 45, 0.000, 7
65, 30, 3.000, 1
46, 40, 0.000, 1
29, 48, 0.000, 1
16, 11, 0.891, 4541
19, 6, 1.153, 3573
41, 21, 0.250, 24
22, 17, 0.656, 1602
5, 39, 1.012, 80
44, 6, 0.550, 20
9, 60, 0.000, 2
47, 11, 0.143, 14
34, 44, 0.000, 2
17, 44, 0.000, 12
56, 1, 0.000, 1
37, 33, 0.588, 17
59, 28, 0.000, 2
45, 33, 0.000, 3
10, 5, 1.392, 8492
35, 23, 0.486, 105
0, 19, 3.590, 4659
38, 0, 3.202, 109
25, 13, 0.744, 1314
14, 41, 0.588, 51
53, 18, 0.250, 4
1, 52, 0.000, 1
4, 7, 1.519, 9946
46, 51, 0.000, 1
29, 9, 0.876, 685
16, 2, 1.750, 3727
19, 15, 0.769, 2545
2, 45, 0.667, 15
41, 30, 0.500, 18
22, 40, 0.314, 35
5, 32, 1.078, 373
9, 37, 0.725, 149
66, 14, 0.200, 5
47, 16, 0.000, 5
69, 3, 0.000, 1
34, 39, 0.000, 9
17, 37, 0.713, 94
56, 8, 0.000, 1
37, 42, 0.000, 2
42, 39, 0.286, 7
23, 11, 0.731, 2191
6, 65, 0.400, 5
45, 26, 0.000, 5
10, 12, 1.024, 6971
13, 49, 0.000, 1
35, 28, 1.111, 45
60, 12, 0.667, 3
25, 22, 0.509, 643
63, 1, 1.333, 3
14, 48, 0.167, 6
1, 13, 1.978, 3882
39, 24, 0.690, 42
4, 14, 1.530, 5446
29, 2, 1.862, 515
19, 20, 0.731, 1661
2, 36, 1.636, 151
41, 7, 1.273, 66
22, 35, 0.698, 96
5, 41, 1.074, 68
9, 46, 0.500, 26
66, 9, 0.889, 9
47, 25, 0.833, 6
30, 35, 1.000, 37
69, 12, 0.000, 4
17, 30, 0.726, 354
23, 0, 3.570, 2629
62, 37, 0.000, 1
45, 19, 0.600, 10
10, 55, 2.000, 1
32, 8, 0.912, 374
13, 42, 0.357, 42
35, 5, 1.192, 219
25, 31, 0.603, 151
63, 14, 1.333, 3
11, 28, 0.721, 860
14, 59, 6.000, 2
1, 6, 1.983, 7164
39, 17, 0.446, 56
26, 6, 0.929, 1259
29, 27, 0.497, 183
51, 50, 0.000, 1
39, 26, 0.160, 25
19, 29, 0.497, 396
2, 63, 3.000, 1
41, 8, 0.603, 68
5, 18, 1.207, 3871
27, 45, 0.500, 8
66, 0, 0.000, 1
30, 42, 0.111, 9
17, 23, 0.659, 1345
20, 4, 1.292, 2816
23, 25, 0.497, 589
6, 51, 0.000, 3
45, 12, 0.650, 20
