32, 54, 1.000, 1
31, 6, 2.349, 459
40, 22, 1.677, 31
21, 28, 1.618, 406
4, 36, 2.418, 184
43, 3, 3.296, 27
7, 25, 2.178, 1547
46, 12, 1.467, 15
29, 44, 1.400, 5
68, 25, 1.000, 3
33, 41, 1.143, 14
16, 47, 1.000, 4
36, 34, 3.000, 8
1, 64, 5.667, 3
58, 19, 1.500, 2
44, 34, 1.000, 3
9, 0, 5.818, 14939
48, 37, 1.000, 1
34, 8, 1.982, 281
15, 30, 1.733, 423
37, 13, 1.564, 133
24, 14, 1.858, 1471
13, 20, 1.978, 2643
52, 17, 1.000, 5
0, 55, 4.000, 1
3, 2, 2.995, 9640
25, 49, 1.800, 5
28, 10, 1.894, 847
50, 27, 1.500, 2
31, 15, 1.799, 333
1, 40, 2.694, 36
40, 29, 1.615, 13
21, 37, 1.746, 67
4, 35, 2.619, 239
8, 38, 1.992, 123
7, 22, 2.247, 2588
65, 11, 2.250, 4
46, 23, 1.375, 8
29, 37, 1.448, 29
33, 34, 1.586, 29
16, 38, 1.422, 64
36, 41, 1.200, 10
41, 34, 1.600, 10
22, 12, 1.890, 2383
44, 25, 1.333, 18
9, 9, 2.236, 9531
12, 50, 2.333, 6
34, 3, 2.393, 275
59, 9, 1.500, 2
24, 21, 1.600, 910
24, 66, 4.000, 2
49, 51, 1.000, 1
13, 13, 2.019, 5221
52, 24, 1.000, 3
0, 14, 6.249, 8892
38, 31, 2.154, 13
3, 11, 2.873, 6516
28, 1, 3.812, 511
50, 18, 2.000, 4
53, 7, 1.500, 6
1, 33, 4.285, 207
40, 4, 2.333, 69
21, 46, 1.500, 12
4, 42, 2.519, 52
8, 45, 1.421, 19
7, 15, 2.352, 5521
65, 12, 6.000, 2
46, 30, 2.333, 3
68, 15, 1.000, 4
33, 59, 1.000, 1
16, 29, 1.763, 490
2, 64, 2.500, 6
41, 43, 1.000, 3
22, 7, 2.283, 2597
5, 53, 2.000, 3
44, 16, 1.762, 21
9, 50, 1.500, 2
47, 5, 1.167, 6
12, 41, 2.067, 60
34, 26, 1.803, 76
17, 50, 1.417, 12
59, 14, 2.000, 2
24, 28, 1.521, 332
62, 9, 1.000, 1
10, 19, 2.116, 3485
13, 6, 2.362, 6778
0, 5, 5.035, 17981
38, 22, 1.432, 44
25, 3, 3.016, 1297
8, 69, 1.000, 1
28, 24, 1.535, 344
50, 13, 1.250, 4
53, 0, 1.500, 2
1, 58, 5.000, 2
40, 11, 1.915, 71
21, 55, 1.000, 1
4, 17, 2.622, 4070
26, 34, 1.789, 71
7, 4, 2.749, 10089
65, 5, 3.500, 4
11, 65, 2.250, 4
16, 20, 1.881, 2096
19, 1, 3.200, 2006
17, 64, 2.000, 1
41, 44, 1.000, 1
22, 30, 1.494, 239
5, 62, 1.500, 4
44, 15, 1.143, 14
27, 65, 1.000, 1
47, 2, 4.000, 5
12, 32, 1.746, 334
34, 21, 1.612, 129
17, 43, 1.875, 24
59, 7, 1.000, 1
10, 26, 1.846, 1269
13, 63, 18.000, 1
0, 28, 5.721, 1134
38, 9, 2.014, 138
17, 27, 1.833, 664
25, 4, 2.788, 1339
63, 19, 1.500, 4
28, 23, 1.761, 330
50, 4, 1.167, 6
14, 38, 1.630, 81
53, 9, 1.000, 2
21, 48, 1.000, 4
4, 24, 2.788, 1604
26, 45, 1.143, 7
65, 30, 2.000, 1
46, 40, 1.000, 1
29, 48, 1.000, 1
16, 11, 2.023, 4541
19, 6, 2.398, 3573
41, 21, 1.208, 24
22, 17, 1.785, 1602
5, 39, 2.450, 80
44, 6, 1.500, 20
9, 60, 1.000, 2
47, 11, 1.357, 14
34, 44, 1.000, 2
17, 44, 1.083, 12
56, 1, 1.000, 1
37, 33, 1.471, 17
59, 28, 2.000, 2
45, 33, 1.000, 3
10, 5, 2.619, 8492
35, 23, 1.543, 105
0, 19, 6.144, 4659
38, 0, 5.358, 109
25, 13, 1.874, 1314
14, 41, 1.588, 51
53, 18, 1.500, 4
1, 52, 2.000, 1
4, 7, 2.724, 9946
46, 51, 1.000, 1
29, 9, 1.961, 685
16, 2, 3.186, 3727
19, 15, 1.850, 2545
2, 45, 1.867, 15
41, 30, 1.444, 18
22, 40, 1.571, 35
5, 32, 2.338, 373
9, 37, 1.745, 149
66, 14, 1.200, 5
47, 16, 1.000, 5
69, 3, 1.000, 1
34, 39, 1.000, 9
17, 37, 1.691, 94
56, 8, 1.000, 1
37, 42, 1.000, 2
42, 39, 1.286, 7
23, 11, 1.914, 2191
6, 65, 1.600, 5
45, 26, 1.200, 5
10, 12, 2.093, 6971
13, 49, 1.000, 1
35, 28, 2.178, 45
60, 12, 2.667, 3
25, 22, 1.630, 643
63, 1, 4.000, 3
14, 48, 1.667, 6
1, 13, 3.448, 3882
39, 24, 2.048, 42
4, 14, 2.780, 5446
29, 2, 3.400, 515
19, 20, 1.822, 1661
2, 36, 2.609, 151
41, 7, 2.636, 66
22, 35, 1.708, 96
5, 41, 2.426, 68
9, 46, 1.423, 26
66, 9, 4.444, 9
47, 25, 5.000, 6
30, 35, 1.486, 37
69, 12, 1.250, 4
17, 30, 1.746, 354
23, 0, 6.267, 2629
62, 37, 1.000, 1
45, 19, 1.100, 10
10, 55, 5.000, 1
32, 8, 1.997, 374
13, 42, 1.524, 42
35, 5, 2.333, 219
25, 31, 1.523, 151
63, 14, 2.667, 3
